,BV,C,H,L,O,T,V,P
0,1.7041252500000001,0.0254,0.0254,0.02525,0.02525,2014-03-07,67.44587598,1.0
1,0.31234249000000003,0.02525,0.02525,0.02525,0.02525,2014-03-10,12.37,1.0
2,0.0003392,0.02525,0.02525,0.02525,0.02525,2014-03-11,0.01343384,1.0
3,5.04149778,0.027,0.027,0.0254,0.0254,2014-03-12,194.09966132,1.0
4,0.05518507,0.01000996,0.02525,1e-08,0.02525,2014-03-13,9.42033657,1.0
5,0.18136236,0.0267,0.0267,0.01001,0.0267,2014-03-14,6.92663162,1.0
6,0.19340616,0.0267,0.0267,5e-06,0.0267,2014-03-15,11.86233242,1.0
7,3.07401375,0.0279,0.27,1e-05,0.0267,2014-03-16,177.26621541,0.25
8,1.7449871300000002,0.02580002,0.0284,0.0256,0.0257,2014-03-17,64.05766269,0.25
9,1.3253031800000001,0.0303,0.035,0.0256,0.0279,2014-03-18,47.42487174,0.0
10,0.21633552,0.029,0.0315,0.029,0.0315,2014-03-19,7.20130451,0.0
11,0.10592111,0.022600000000000002,0.022600000000000002,0.022600000000000002,0.022600000000000002,2014-03-20,4.68677585,0.25
12,0.05486416,0.026000000000000002,0.026000000000000002,0.0225,0.0225,2014-03-21,2.14794003,0.0
13,0.7772872000000001,0.02600001,0.029,0.02560001,0.029,2014-03-22,29.57954364,0.0
14,0.10993658,0.0263,0.030000000000000002,0.026000000000000002,0.026000000000000002,2014-03-23,4.09821892,0.0
15,0.0580725,0.0294,0.030000000000000002,0.0263,0.0263,2014-03-24,1.96816149,0.0
16,0.21078203,0.030000000000000002,0.030000000000000002,0.02628,0.02628,2014-03-25,7.75379006,0.0
17,0.50609207,0.026756000000000002,0.029500000000000002,0.02641,0.026600000000000002,2014-03-26,18.8036976,0.0
18,0.45877497,0.028856,0.028856,0.026605,0.026756000000000002,2014-03-27,16.95543866,0.0
19,0.2194029,0.026666000000000002,0.028959000000000002,0.02666,0.02670001,2014-03-28,8.07037847,0.0
20,0.31645714,0.02929,0.0293,0.027,0.028,2014-03-29,11.1132666,0.0
21,0.42264328,0.028995,0.029,0.02677021,0.029,2014-03-30,15.30122158,0.0
22,0.58029664,0.0278001,0.02929,0.027701,0.028995,2014-03-31,20.78120926,0.0
23,0.77195839,0.026605,0.0278001,0.0245,0.0277,2014-04-01,28.07785106,0.0
24,0.5339871,0.02565,0.0277,0.0245,0.027,2014-04-02,20.69929834,0.0
25,0.34207375,0.02697,0.027,0.022520000000000002,0.02565,2014-04-03,14.30691626,0.0
26,0.53963687,0.0277,0.0277,0.022636,0.02696999,2014-04-04,21.73319199,0.0
27,0.1598307,0.02333334,0.02549999,0.02320001,0.023200020000000002,2014-04-05,6.82813991,0.0
28,0.10517839,0.0252,0.0261,0.024,0.025500000000000002,2014-04-06,4.22940593,0.0
29,0.0746201,0.02572,0.0276,0.0245009,0.0245009,2014-04-07,2.92925276,0.0
30,0.77881909,0.02350001,0.025999,0.02350001,0.02451,2014-04-08,31.78782505,0.0
31,6.9784893,0.02351031,0.025999,0.0223,0.02350001,2014-04-09,289.37399146,0.0
32,4.43197999,0.024,0.0277,0.022000000000000002,0.02351031,2014-04-10,185.1320878,0.0
33,5.62155975,0.025500000000000002,0.0277,0.023,0.024,2014-04-11,220.7696994,0.0
34,3.00115749,0.0245,0.02639999,0.02445,0.025500000000000002,2014-04-12,118.96264497,0.0
35,3.55040995,0.02599,0.0285,0.02450002,0.02450002,2014-04-13,134.51934976,0.0
36,5.07653183,0.02436,0.025799990000000002,0.023002,0.025799990000000002,2014-04-14,204.7625525,0.0
37,3.08790362,0.0263,0.0288,0.02435,0.024350010000000002,2014-04-15,123.23975759,0.0
38,1.34098869,0.025296,0.0287,0.02435,0.0263,2014-04-16,51.98682462,0.0
39,1.25464479,0.0258,0.0268,0.02435011,0.025296,2014-04-17,50.23656651,0.0
40,2.1758785,0.024,0.0258,0.024,0.024900000000000002,2014-04-18,89.2363664,0.0
41,2.13298974,0.02579998,0.0259,0.0241,0.0241,2014-04-19,84.9293457,0.0
42,1.94747608,0.025,0.02615,0.02461,0.0251,2014-04-20,76.21045492,0.0
43,0.85803388,0.025449990000000002,0.0262,0.02461,0.02599999,2014-04-21,33.3638723,0.0
44,0.5303770800000001,0.02490052,0.02545,0.02490003,0.02545,2014-04-22,21.15670217,0.0
45,1.15221939,0.02475009,0.02544888,0.02475008,0.02490053,2014-04-23,45.8060887,0.0
46,0.34282047,0.02549999,0.025500000000000002,0.02475009,0.025448870000000002,2014-04-24,13.5056911,0.0
47,0.92804243,0.02400002,0.025500000000000002,0.022600000000000002,0.02549999,2014-04-25,37.41433881,0.0
48,0.93255511,0.0252,0.02539999,0.023200000000000002,0.02400002,2014-04-26,37.84425002,0.0
49,0.48399603,0.0231,0.0247,0.0231,0.02350017,2014-04-27,20.32705199,0.0
50,0.78954817,0.0245,0.0246,0.0211,0.0211,2014-04-28,34.05989084,0.0
51,0.72549478,0.02231023,0.0245,0.02231,0.02231001,2014-04-29,30.94692769,0.0
52,1.67512442,0.02529,0.02529,0.0235,0.02350001,2014-04-30,69.58425482,0.0
53,0.53551293,0.02549899,0.025500000000000002,0.02350012,0.02350013,2014-05-01,21.87711944,0.0
54,0.76911322,0.023551060000000002,0.025500000000000002,0.02355011,0.02400051,2014-05-02,31.965850969999998,0.0
55,1.37046204,0.02365,0.02499997,0.02355105,0.023551060000000002,2014-05-03,57.33048176,0.0
56,1.2468716,0.02350001,0.02475,0.02350001,0.02365,2014-05-04,52.08943719,0.0
57,5.63358747,0.023510200000000002,0.025500000000000002,0.02350001,0.02350001,2014-05-05,229.71775118,0.0
58,0.35411291,0.024900000000000002,0.024900000000000002,0.02351013,0.02351013,2014-05-06,14.75377439,0.0
59,1.13836222,0.02400004,0.024900000000000002,0.02400002,0.02489999,2014-05-07,47.05597909,0.0
60,1.95241091,0.024,0.0244,0.0238001,0.02404999,2014-05-08,81.30926732,0.0
61,1.67828539,0.02380002,0.0242,0.0236,0.024,2014-05-09,70.4134723,0.0
62,0.78318942,0.0239,0.02419998,0.02380002,0.02380002,2014-05-10,32.60521748,0.0
63,1.40974599,0.0236,0.0242,0.02300001,0.02381003,2014-05-11,59.29260357,0.0
64,1.47822709,0.02365,0.02419949,0.02333,0.0237,2014-05-12,61.65977764,0.0
65,2.37098132,0.0236,0.0247,0.023400050000000002,0.02365,2014-05-13,99.47526766,0.0
66,0.63344521,0.02404195,0.02404195,0.02340006,0.0236,2014-05-14,26.92776692,0.0
67,1.80280453,0.023415000000000002,0.0244,0.023415000000000002,0.023420240000000002,2014-05-15,76.47237003,0.0
68,1.81005108,0.02220006,0.0244,0.02200003,0.02341502,2014-05-16,79.26697842,0.0
69,1.25824962,0.0233,0.024300000000000002,0.0225,0.0225,2014-05-17,53.03969367,0.0
